Label,Facility,Temperature,CO2
116,ahs,3001071,
137,ahs,3011595,3011592
138,ahs,3001201,
139,ahs,3011582,3011579
201,ahs,3006664,3006672
203,ahs,3006616,3006624
205,ahs,3006578,3006586
207,ahs,3006552,3006560
209,ahs,3007272,3007275
211,ahs,3019361,3019364
215,ahs,3019554,3019557
222,ahs,3007505,3007508
224,ahs,3019080,3019083
225,ahs,3007894,3007897
226,ahs,3007633,3007636
227,ahs,3008194,3008197
228,ahs,3019597,3019600
230,ahs,3007938,3007941
232,ahs,3019412,3019415
237,ahs,3019317,3019320
241,ahs,3019266,3019269
243,ahs,3019035,3019038
245,ahs,3019170,3019173
247,ahs,3019126,3019129
249,ahs,3009875,3009878
251,ahs,3010431,3010434
253,ahs,3010481,3010484
255A&B,ahs,3011366,3011369
260A,ahs,3001161,
260B,ahs,3001177,
264A,ahs,3001515,3001503
264B,ahs,3001640,3001628
267,ahs,3011148,3011151
271,ahs,3010274,3010277
272,ahs,3009826,3009829
273,ahs,3009777,3009780
301,ahs,3002974,3002981
303,ahs,3002985,
305,ahs,3002964,3002965
307,ahs,3002996,3003003
309,ahs,3003007,3003014
310,ahs,3001090,
311,ahs,3003018,3003025
313,ahs,3003029,3003036
320,ahs,3006123,3006131
323,ahs,3006152,3006160
325,ahs,3006189,3006197
326,ahs,3006238,3006246
328,ahs,3006347,3006355
335,ahs,3001848,3001836
337,ahs,3001822,3001810
339,ahs,3001796,3001784
341,ahs,3001770,3001758
343,ahs,3001744,3001732
345,ahs,3001718,3001706
347,ahs,3001692,3001680
349,ahs,3001666,3001654
351,ahs,3001489,3001477
353,ahs,3001463,3001451
355,ahs,3020712,
357,ahs,3001437,3001425
359,ahs,3001411,3001399
361,ahs,3001385,3001373
363,ahs,3001359,3001347
365,ahs,3001333,3001321
367,ahs,3001307,3001295
369,ahs,3001281,3001269
370,ahs,3001255,3001243
373,ahs,3001935,3001933
375.01,ahs,3003049,3003056
375.02,ahs,3019714,3019750
377,ahs,3006431,3006439
377.01,ahs,3001221,3019751
379,ahs,3001900,3001888
381,ahs,3001874,3001862
Guidance,ahs,3001145,
Kit Conf,ahs,3001532,
Kit Office,ahs,3001549,
Principal Office,ahs,3001914,
Outside Air,ahs,3001015,3014200
Field House NW,ahs,3014141,3013697
Field House SW,ahs,3013693,3014144
Field House SE,ahs,3013760,3013764
Field House NE,ahs,3015226,3015232
Dunn Gym,ahs,3000663,3000638
Locker Rooms,ahs,3000622,
Athletic Director,ahs,3001127,
Arts & Ceramic,ahs,3000413,
CADD & Graphics,ahs,3000365,
Main Lobby,ahs,3000213,
Computer Office,ahs,3000522,
Admin Office,ahs,3000476,
CC Scene Shop,ahs,3002109,3002114
CC Entry Hall & Common,ahs,3002081,3002086
CC Stage,ahs,3002053,3002058
CC Seating,ahs,3002025,3002030
CC Band & Choral ZN1,ahs,3001988,3001996
CC Multizone ZN1,ahs,3001942,3001952
CC Multizone ZN2,ahs,3001943,
CC Multizone ZN3,ahs,3001944,
CC Multizone ZN4,ahs,3001945,
